date,exercise,set,weight,reps,notes
2026-05-15,Bench Press,1,100.0,8,
2026-05-15,Bench Press,2,100.0,7,
2026-05-15,Bench Press,3,100.0,7,
2026-05-15,Lat Pulldown,1,110.0,10,
2026-05-15,Lat Pulldown,2,110.0,7,
2026-05-15,Lat Pulldown,3,110.0,8,
2026-05-15,Row,1,85.0,12,
2026-05-15,Row,2,90.0,12,
2026-05-15,Row,3,90.0,11,
2026-05-15,Incline Dumbbell Press,1,40.0,10,
2026-05-15,Incline Dumbbell Press,2,40.0,10,
2026-05-15,Incline Dumbbell Press,3,40.0,9,
2026-05-15,Lateral Raise,1,15.0,14,
2026-05-15,Lateral Raise,2,15.0,13,
2026-05-15,Lateral Raise,3,15.0,12,
2026-05-15,Tricep Pushdown,1,35.0,12,
2026-05-15,Tricep Pushdown,2,35.0,10,
2026-05-15,Tricep Pushdown,3,35.0,9,
2026-05-15,Cable Bicep Curl,1,35.0,12,
2026-05-15,Cable Bicep Curl,2,35.0,12,
2026-05-15,Cable Bicep Curl,3,35.0,10,
2026-05-18,Squat,1,95.0,9,
2026-05-18,Squat,2,95.0,8,
2026-05-18,Squat,3,95.0,8,
2026-05-18,Leg Press,1,160.0,12,
2026-05-18,Leg Press,2,160.0,12,
2026-05-18,Leg Press,3,170.0,12,
2026-05-18,RDL,1,85.0,10,
2026-05-18,RDL,2,85.0,10,
2026-05-18,RDL,3,85.0,10,
2026-05-18,Leg Extension,1,90.0,12,
2026-05-18,Leg Extension,2,90.0,12,
2026-05-18,Leg Extension,3,90.0,11,
2026-05-18,Leg Curl,1,95.0,13,
2026-05-18,Leg Curl,2,95.0,12,
2026-05-18,Leg Curl,3,95.0,12,
2026-05-18,Calf Raise,1,20.0,16,
2026-05-18,Calf Raise,2,25.0,15,
2026-05-18,Calf Raise,3,25.0,16,
2026-05-21,Bench Press,1,100.0,10,
2026-05-21,Bench Press,2,100.0,8,
2026-05-21,Bench Press,3,100.0,7,
2026-05-21,Lat Pulldown,1,105.0,10,
2026-05-21,Lat Pulldown,2,105.0,10,
2026-05-21,Lat Pulldown,3,105.0,8,
2026-05-21,Row,1,90.0,12,
2026-05-21,Row,2,90.0,11,
2026-05-21,Row,3,90.0,10,
2026-05-21,Incline Dumbbell Press,1,40.0,10,
2026-05-21,Incline Dumbbell Press,2,40.0,10,
2026-05-21,Incline Dumbbell Press,3,40.0,9,
2026-05-21,Lateral Raise,1,15.0,14,
2026-05-21,Lateral Raise,2,15.0,13,
2026-05-21,Lateral Raise,3,15.0,13,
2026-05-21,Tricep Pushdown,1,22.5,12,
2026-05-21,Tricep Pushdown,2,27.5,12,
2026-05-21,Tricep Pushdown,3,27.5,11,
2026-05-21,Cable Bicep Curl,1,35.0,12,
2026-05-21,Cable Bicep Curl,2,35.0,12,
2026-05-21,Cable Bicep Curl,3,35.0,11,
2026-05-24,Squat,1,85.0,10,Accidentally loaded 85 instead of intended 95
2026-05-24,Squat,2,85.0,10,Accidentally loaded 85 instead of intended 95
2026-05-24,Squat,3,85.0,10,Accidentally loaded 85 instead of intended 95
2026-05-24,Leg Press,1,170.0,12,
2026-05-24,Leg Press,2,170.0,12,
2026-05-24,Leg Press,3,175.0,12,
2026-05-24,RDL,1,85.0,10,
2026-05-24,RDL,2,85.0,10,
2026-05-24,RDL,3,85.0,12,
2026-05-24,Leg Extension,1,90.0,14,
2026-05-24,Leg Extension,2,90.0,12,
2026-05-24,Leg Extension,3,90.0,12,
2026-05-24,Leg Curl,1,95.0,15,
2026-05-24,Leg Curl,2,100.0,12,
2026-05-24,Leg Curl,3,100.0,12,
2026-05-24,Standing Calf Raise,1,25.0,16,Dumbbells in each hand
2026-05-24,Standing Calf Raise,2,25.0,17,Dumbbells in each hand
2026-05-24,Standing Calf Raise,3,25.0,16,Dumbbells in each hand; unstable setup
2026-05-25,Chest Press,1,90.0,11,Good working weight
2026-05-25,Chest Press,2,90.0,10,
2026-05-25,Chest Press,3,90.0,9,
2026-05-25,Lat Pulldown,1,110.0,10,Last few reps did not reach chest
2026-05-25,Lat Pulldown,2,105.0,10,Last few reps did not reach chest
2026-05-25,Lat Pulldown,3,105.0,9,Last few reps did not reach chest
2026-05-25,Seated Row,1,80.0,10,Learning machine setup
2026-05-25,Seated Row,2,80.0,10,Felt back engagement more
2026-05-25,Seated Row,3,80.0,9,Definitely felt back working
2026-05-25,Incline Dumbbell Press,1,40.0,10,
2026-05-25,Incline Dumbbell Press,2,40.0,10,
2026-05-25,Incline Dumbbell Press,3,40.0,9,
2026-05-25,Lateral Raise,1,15.0,15,
2026-05-25,Lateral Raise,2,15.0,14,
2026-05-25,Lateral Raise,3,15.0,14,
2026-05-25,Tricep Pushdown,1,35.0,12,
2026-05-25,Tricep Pushdown,2,35.0,11,
2026-05-25,Tricep Pushdown,3,35.0,10,
2026-05-25,Cable Bicep Curl,1,35.0,12,
2026-05-25,Cable Bicep Curl,2,35.0,12,
2026-05-25,Cable Bicep Curl,3,35.0,12,
